"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2021","16.07","15.84","16.17","15.82","","-0.80%"
"06/29/2021","16.20","16.27","16.46","16.08","","-1.16%"
"06/28/2021","16.39","16.75","16.94","16.34","","-0.73%"
"06/25/2021","16.51","16.43","16.76","16.33","","-1.61%"
"06/24/2021","16.78","16.92","17.68","16.77","","-4.11%"
"06/23/2021","17.50","17.19","17.92","17.05","","-3.95%"
"06/22/2021","18.22","17.88","18.23","17.53","","0.77%"
"06/21/2021","18.08","18.77","19.27","18.08","","7.56%"
"06/18/2021","16.81","16.99","17.07","16.57","","-0.94%"
"06/17/2021","16.97","17.39","17.39","16.62","","-2.13%"
"06/16/2021","17.34","17.13","17.44","16.95","","2.36%"
"06/15/2021","16.94","16.34","17.38","16.15","","7.56%"
"06/11/2021","15.75","15.94","16.07","15.51","","-4.02%"
"06/10/2021","16.41","16.34","16.50","16.21","","0.18%"
"06/09/2021","16.38","16.67","16.72","16.32","","-0.36%"
"06/08/2021","16.44","16.81","16.95","16.40","","-2.49%"
"06/07/2021","16.86","16.79","17.60","16.68","","2.55%"
"06/04/2021","16.44","17.18","17.18","16.35","","-2.84%"
"06/03/2021","16.92","17.06","17.31","16.60","","0.12%"
"06/02/2021","16.90","17.44","17.60","16.78","","-1.52%"
"06/01/2021","17.16","17.04","17.23","16.73","","3.69%"
"05/31/2021","16.55","16.92","17.04","16.31","","1.85%"
"05/28/2021","16.25","16.73","17.01","16.11","","-0.91%"
"05/27/2021","16.40","16.47","16.67","16.32","","-1.91%"
"05/26/2021","16.72","16.59","17.01","16.59","","0.78%"
"05/25/2021","16.59","16.16","16.74","16.16","","-2.93%"
"05/24/2021","17.09","17.69","17.78","16.99","","-0.35%"
"05/21/2021","17.15","17.87","18.09","17.07","","-4.67%"
"05/20/2021","17.99","18.21","18.62","17.81","","2.74%"
"05/18/2021","17.51","17.78","18.05","17.51","","-4.73%"
"05/17/2021","18.38","18.97","18.97","18.14","","-2.60%"
"05/14/2021","18.87","19.07","19.93","18.80","","-7.55%"
"05/13/2021","20.41","20.09","20.45","18.98","","10.15%"
"05/12/2021","18.53","18.86","19.80","18.41","","-0.11%"
"05/11/2021","18.55","18.59","19.38","18.00","","7.35%"
"05/10/2021","17.28","17.50","17.70","17.07","","-0.35%"
"05/07/2021","17.34","17.03","17.51","17.03","","-1.03%"
"05/06/2021","17.52","17.57","17.80","17.38","","-1.57%"
"05/05/2021","17.80","17.54","17.96","17.07","","2.77%"
"05/04/2021","17.32","17.98","18.12","17.29","","-3.99%"
"05/03/2021","18.04","17.84","18.52","17.82","","6.81%"
"04/30/2021","16.89","16.72","17.22","16.71","","2.61%"
"04/29/2021","16.46","16.21","16.80","16.11","","1.48%"
"04/28/2021","16.22","17.06","17.09","16.21","","-5.04%"
"04/27/2021","17.08","17.59","17.71","17.07","","-2.62%"
"04/26/2021","17.54","18.01","18.20","17.51","","-1.46%"
"04/23/2021","17.80","18.36","18.39","17.65","","-3.10%"
"04/22/2021","18.37","18.85","19.09","18.36","","-6.75%"
"04/21/2021","19.70","20.49","20.49","19.52","","3.25%"
"04/20/2021","19.08","20.05","20.13","19.06","","-1.70%"
"04/19/2021","19.41","19.35","19.64","19.16","","3.30%"
"04/16/2021","18.79","18.97","19.08","18.08","","1.73%"
"04/15/2021","18.47","18.19","18.90","18.17","","2.38%"
"04/14/2021","18.04","17.80","18.36","17.69","","-0.22%"
"04/13/2021","18.08","17.48","18.19","17.23","","2.03%"
